,userId,similar_user_1,similar_user_2,similar_user_3,similar_user_4,similar_user_5
2344,586.0,586.0,850.0,882.0,741.0,586.0
2352,587.0,981.0,567.0,34.0,587.0,587.0
2357,588.0,58.0,792.0,882.0,455.0,588.0
2360,589.0,220.0,911.0,114.0,1027.0,589.0
2361,590.0,663.0,667.0,403.0,843.0,590.0
2362,592.0,225.0,1060.0,56.0,953.0,592.0
2365,593.0,778.0,120.0,251.0,63.0,593.0
2366,595.0,1066.0,849.0,524.0,882.0,595.0
2372,599.0,509.0,599.0,670.0,995.0,599.0
2374,600.0,600.0,231.0,483.0,229.0,600.0
2390,602.0,602.0,825.0,937.0,761.0,602.0
2393,603.0,400.0,261.0,1034.0,1010.0,603.0
2398,604.0,931.0,761.0,824.0,368.0,604.0
2405,605.0,1182.0,1145.0,567.0,825.0,605.0
2410,606.0,368.0,741.0,850.0,606.0,606.0
2421,607.0,32.0,737.0,212.0,56.0,607.0
2424,610.0,220.0,911.0,589.0,914.0,610.0
2425,611.0,682.0,120.0,229.0,483.0,611.0
2447,613.0,225.0,191.0,817.0,1066.0,613.0
2454,614.0,727.0,1156.0,806.0,56.0,614.0
2460,615.0,98.0,971.0,120.0,506.0,615.0
2466,616.0,212.0,1142.0,76.0,20.0,616.0
2470,619.0,1010.0,882.0,1012.0,308.0,619.0
2480,621.0,56.0,852.0,160.0,1100.0,621.0
2483,622.0,1066.0,1034.0,971.0,733.0,622.0
2489,623.0,702.0,1002.0,34.0,860.0,623.0
2495,624.0,624.0,971.0,346.0,483.0,624.0
2502,625.0,120.0,251.0,346.0,24.0,625.0
2511,627.0,483.0,346.0,24.0,120.0,627.0
2513,629.0,20.0,332.0,1065.0,340.0,629.0
2514,630.0,499.0,630.0,851.0,1093.0,630.0
2517,632.0,1120.0,1130.0,882.0,431.0,632.0
2523,633.0,741.0,229.0,368.0,1041.0,633.0
2535,634.0,682.0,1104.0,231.0,368.0,634.0
2536,635.0,1066.0,225.0,191.0,533.0,635.0
2540,636.0,76.0,702.0,434.0,267.0,636.0
2544,638.0,191.0,882.0,1120.0,225.0,638.0
2555,640.0,682.0,120.0,971.0,229.0,640.0
2561,641.0,733.0,715.0,860.0,930.0,641.0
2565,643.0,643.0,332.0,965.0,37.0,643.0
2569,644.0,212.0,737.0,20.0,471.0,644.0
2571,645.0,20.0,332.0,340.0,1065.0,645.0
2572,646.0,979.0,52.0,99.0,991.0,646.0
2576,647.0,37.0,461.0,727.0,450.0,647.0
2577,651.0,427.0,1104.0,733.0,1213.0,651.0
2579,652.0,652.0,229.0,741.0,368.0,652.0
2589,654.0,56.0,663.0,1010.0,353.0,654.0
2591,655.0,682.0,887.0,483.0,120.0,655.0
2593,658.0,24.0,483.0,611.0,931.0,658.0
2595,659.0,220.0,911.0,1027.0,696.0,659.0
2596,660.0,251.0,611.0,332.0,120.0,660.0
2599,661.0,24.0,346.0,824.0,931.0,661.0
2611,663.0,790.0,365.0,490.0,904.0,663.0
2614,667.0,667.0,319.0,56.0,772.0,667.0
2616,669.0,1122.0,669.0,65.0,887.0,669.0
2619,670.0,509.0,670.0,599.0,995.0,670.0
2621,671.0,164.0,567.0,578.0,332.0,671.0
2624,672.0,1136.0,392.0,340.0,741.0,672.0
2637,673.0,559.0,56.0,971.0,261.0,673.0
2641,674.0,1062.0,834.0,229.0,63.0,674.0
2649,677.0,56.0,741.0,682.0,611.0,677.0
2650,679.0,1041.0,799.0,368.0,1177.0,679.0
2655,680.0,971.0,741.0,1122.0,346.0,680.0
2656,681.0,431.0,1120.0,455.0,534.0,681.0
2663,682.0,971.0,229.0,611.0,483.0,682.0
2690,684.0,663.0,667.0,403.0,843.0,684.0
2691,686.0,56.0,368.0,150.0,931.0,686.0
2700,687.0,956.0,340.0,736.0,1117.0,687.0
2704,688.0,611.0,1156.0,340.0,741.0,688.0
2705,689.0,56.0,362.0,545.0,30.0,689.0
2708,690.0,850.0,533.0,368.0,741.0,690.0
2718,691.0,56.0,971.0,559.0,682.0,691.0
